ticker,timestamp,last_processing_date,total_score,environment_score,social_score,governance_score,rating
ABBV,2020-03-01,2025-03-14,30.35,0.96,16.54,12.84,D
ABBV,2020-07-01,2025-03-14,30.19,0.96,16.53,12.69,D
ABBV,2020-08-01,2025-03-14,31.26,0.96,18.01,12.28,D
ABBV,2020-10-01,2025-03-14,30.86,0.96,18.15,11.75,D
ABBV,2021-01-01,2025-03-14,29.07,0.65,17.09,11.33,C
ABBV,2021-02-01,2025-03-14,29.07,0.65,17.09,11.33,C
ABBV,2021-03-01,2025-03-14,29.07,0.65,17.09,11.33,C
ABBV,2021-05-01,2025-03-14,29.07,0.65,17.09,11.33,C
ABBV,2021-09-01,2025-03-14,27.38,0.65,16.64,10.1,C
ABBV,2022-02-01,2025-03-14,28.01,1.12,16.92,9.98,C
ABBV,2022-05-01,2025-03-14,28.01,1.12,16.92,9.98,C
ABBV,2022-08-01,2025-03-14,27.84,1.12,16.77,9.95,C
ABBV,2023-09-01,2025-03-14,29.93,2.38,17.19,10.36,C
ABBV,2024-11-01,2025-03-14,26.1,1.78,15.7,8.62,C
ABBV,2024-12-01,2025-03-14,26.1,1.78,15.7,8.62,C
ABBV,2025-01-01,2025-03-14,26.1,1.78,15.7,8.62,C
ABBV,2025-02-01,2025-03-14,25.97,1.78,15.71,8.48,C
ABBV,2025-03-01,2025-03-14,23.87,2.36,14.88,6.63,C
ACN,2020-01-01,2025-03-14,15.32,0.96,8.19,6.17,B
ACN,2020-02-01,2025-03-14,15.45,0.96,8.19,6.3,B
ACN,2020-03-01,2025-03-14,15.45,0.96,8.19,6.3,B
ACN,2020-07-01,2025-03-14,11.24,0.55,4.98,5.71,B
ACN,2020-08-01,2025-03-14,11.24,0.55,4.98,5.71,B
ACN,2020-10-01,2025-03-14,11.24,0.55,4.98,5.71,B
ACN,2021-01-01,2025-03-14,11.31,0.55,4.98,5.78,B
ACN,2021-02-01,2025-03-14,11.31,0.55,4.98,5.78,B
ACN,2021-03-01,2025-03-14,11.31,0.55,4.98,5.78,B
ACN,2021-05-01,2025-03-14,11.31,0.55,4.98,5.78,B
ACN,2021-09-01,2025-03-14,11.41,0.55,5.37,5.49,B
ACN,2022-02-01,2025-03-14,9.45,0.29,4.32,4.83,A
ACN,2022-05-01,2025-03-14,9.71,0.29,4.58,4.83,A
ACN,2022-08-01,2025-03-14,9.71,0.29,4.58,4.83,A
ACN,2023-09-01,2025-03-14,9.84,0.82,4.61,4.41,A
ACN,2024-11-01,2025-03-14,11.91,2.06,6.81,3.05,B
ACN,2024-12-01,2025-03-14,11.91,2.06,6.81,3.05,B
ACN,2025-01-01,2025-03-14,11.09,0.14,6.94,4.01,B
ACN,2025-02-01,2025-03-14,11.09,0.14,6.94,4.01,B
ACN,2025-03-01,2025-03-14,11.09,0.14,6.94,4.01,B
ATVI,2020-01-01,2025-03-14,16.71,0.15,10.46,6.09,B
ATVI,2020-02-01,2025-03-14,16.71,0.15,10.46,6.09,B
ATVI,2020-03-01,2025-03-14,16.71,0.15,10.46,6.09,B
ATVI,2020-07-01,2025-03-14,16.71,0.15,10.46,6.09,B
ATVI,2020-08-01,2025-03-14,16.82,0.15,10.46,6.2,B
ATVI,2020-10-01,2025-03-14,16.84,0.15,10.46,6.22,B
ATVI,2021-01-01,2025-03-14,17.04,0.15,10.66,6.22,B
ATVI,2021-02-01,2025-03-14,17.04,0.15,10.66,6.22,B
ATVI,2021-03-01,2025-03-14,17.04,0.15,10.66,6.22,B
ATVI,2021-05-01,2025-03-14,16.15,0.15,9.84,6.15,B
ATVI,2022-02-01,2025-03-14,19.12,0.15,12.48,6.49,B
ATVI,2022-05-01,2025-03-14,19.16,0.15,12.48,6.52,B
ATVI,2022-08-01,2025-03-14,18.94,0.15,12.48,6.31,B
ATVI,2023-09-01,2025-03-14,16.47,0.13,9.83,6.51,B
ADBE,2020-01-01,2025-03-14,13.59,0.45,8.08,5.07,B
ADBE,2020-02-01,2025-03-14,13.59,0.45,8.08,5.07,B
ADBE,2020-03-01,2025-03-14,13.59,0.45,8.08,5.07,B
ADBE,2020-07-01,2025-03-14,13.59,0.45,8.08,5.07,B
ADBE,2020-08-01,2025-03-14,13.59,0.45,8.08,5.07,B
ADBE,2020-10-01,2025-03-14,13.32,0.45,7.93,4.94,B
ADBE,2021-01-01,2025-03-14,10.98,0.48,5.65,4.84,B
ADBE,2021-02-01,2025-03-14,10.88,0.48,5.65,4.74,B
ADBE,2021-03-01,2025-03-14,10.88,0.48,5.65,4.74,B
ADBE,2021-05-01,2025-03-14,10.88,0.48,5.65,4.74,B
ADBE,2021-09-01,2025-03-14,10.78,0.48,5.65,4.64,B
ADBE,2022-02-01,2025-03-14,10.78,0.48,5.65,4.64,B
ADBE,2022-05-01,2025-03-14,12.46,1.89,5.93,4.64,B
ADBE,2022-08-01,2025-03-14,12.46,1.89,5.93,4.64,B
ADBE,2023-09-01,2025-03-14,13.08,1.94,5.99,5.15,B
ADBE,2024-10-01,2025-03-14,14.06,1.69,7.23,5.14,B
ADBE,2024-11-01,2025-03-14,14.06,1.69,7.23,5.14,B
ADBE,2024-12-01,2025-03-14,14.06,1.69,7.23,5.14,B
ADBE,2025-01-01,2025-03-14,14.06,1.69,7.23,5.14,B
ADBE,2025-02-01,2025-03-14,14.06,1.69,7.23,5.14,B
ADBE,2025-03-01,2025-03-14,14.36,2.83,6.75,4.79,B
AMD,2024-10-01,2025-03-14,13.83,3.29,5.76,4.79,B
AMD,2024-11-01,2025-03-14,13.83,3.29,5.76,4.79,B
AMD,2024-12-01,2025-03-14,13.65,3.29,5.47,4.89,B
AMD,2025-01-01,2025-03-14,13.65,3.29,5.47,4.89,B
AMD,2025-02-01,2025-03-14,12.51,3.01,4.22,5.28,B
AMD,2025-03-01,2025-03-14,12.51,3.01,4.22,5.28,B
AAP,2020-01-01,2025-03-14,13.38,0.14,9.09,4.15,B
AAP,2020-02-01,2025-03-14,12.91,0.14,9.09,3.68,B
AAP,2020-03-01,2025-03-14,12.91,0.14,9.09,3.68,B
AAP,2020-07-01,2025-03-14,12.38,0.1,8.67,3.61,B
AAP,2020-08-01,2025-03-14,12.38,0.1,8.67,3.61,B
AAP,2020-10-01,2025-03-14,12.4,0.1,8.67,3.63,B
AAP,2021-01-01,2025-03-14,12.4,0.1,8.67,3.63,B
AAP,2021-02-01,2025-03-14,12.1,0.1,8.67,3.33,B
AAP,2021-03-01,2025-03-14,12.1,0.1,8.67,3.33,B
AAP,2021-05-01,2025-03-14,12.1,0.1,8.67,3.33,B
AAP,2021-09-01,2025-03-14,12.58,0.1,9.14,3.33,B
AAP,2022-02-01,2025-03-14,12.97,0.1,9.17,3.7,B
AAP,2022-05-01,2025-03-14,12.97,0.1,9.17,3.7,B
AAP,2022-08-01,2025-03-14,12.97,0.1,9.17,3.7,B
AAP,2023-01-01,2025-03-14,11.52,0.11,8.29,3.11,B
AAP,2023-09-01,2025-03-14,11.52,0.11,8.29,3.11,B
AAP,2024-11-01,2025-03-14,10.72,0.23,8.17,2.32,B
AAP,2024-12-01,2025-03-14,10.72,0.23,8.17,2.32,B
AAP,2025-01-01,2025-03-14,10.72,0.23,8.17,2.32,B
AAP,2025-02-01,2025-03-14,10.72,0.23,8.17,2.32,B
AAP,2025-03-01,2025-03-14,10.72,0.23,8.17,2.32,B
AES,2020-01-01,2025-03-14,33.69,19.19,8.56,5.94,D
AES,2020-02-01,2025-03-14,33.69,19.19,8.56,5.94,D
AES,2020-03-01,2025-03-14,33.69,19.19,8.56,5.94,D
AES,2020-07-01,2025-03-14,33.15,18.83,8.56,5.77,D
AES,2020-08-01,2025-03-14,33.15,18.83,8.56,5.77,D
AES,2020-10-01,2025-03-14,33.17,18.83,8.56,5.79,D
AES,2021-01-01,2025-03-14,33.43,18.83,8.82,5.79,D
AES,2021-02-01,2025-03-14,33.43,18.83,8.82,5.79,D
AES,2021-03-01,2025-03-14,34.97,20.82,8.31,5.84,D
AES,2021-05-01,2025-03-14,34.94,20.79,8.31,5.84,D
AES,2021-09-01,2025-03-14,35.05,20.79,8.31,5.95,D
AES,2022-02-01,2025-03-14,35.05,20.79,8.31,5.95,D
AES,2022-05-01,2025-03-14,34.16,16.48,11.2,6.48,D
AES,2022-08-01,2025-03-14,34.15,16.48,11.2,6.47,D
AES,2023-01-01,2025-03-14,34.15,16.48,11.2,6.47,D
AES,2023-09-01,2025-03-14,26.69,13.26,8.18,5.26,C
AES,2024-11-01,2025-03-14,23.48,11.2,8.53,3.75,C
AES,2024-12-01,2025-03-14,25.04,12.0,9.79,3.25,C
AES,2025-01-01,2025-03-14,25.04,12.0,9.79,3.25,C
AES,2025-02-01,2025-03-14,24.32,12.02,9.05,3.25,C
AES,2025-03-01,2025-03-14,24.32,12.02,9.05,3.25,C
AFL,2020-01-01,2025-03-14,24.38,2.02,8.76,13.59,C
AFL,2020-02-01,2025-03-14,24.38,2.02,8.76,13.59,C
AFL,2020-03-01,2025-03-14,23.62,2.06,7.97,13.59,C
AFL,2020-07-01,2025-03-14,23.62,2.06,7.97,13.59,C
AFL,2020-08-01,2025-03-14,23.62,2.06,7.97,13.59,C
AFL,2020-10-01,2025-03-14,23.62,2.06,7.97,13.59,C
AFL,2021-01-01,2025-03-14,23.62,2.06,7.97,13.59,C
AFL,2021-02-01,2025-03-14,23.26,2.46,7.86,12.94,C
AFL,2021-03-01,2025-03-14,23.26,2.46,7.86,12.94,C
AFL,2021-05-01,2025-03-14,23.26,2.46,7.86,12.94,C
AFL,2021-09-01,2025-03-14,22.96,2.46,7.86,12.64,C
AFL,2022-02-01,2025-03-14,17.3,0.47,7.26,9.57,B
AFL,2022-05-01,2025-03-14,17.3,0.47,7.26,9.57,B
AFL,2022-08-01,2025-03-14,17.3,0.47,7.26,9.57,B
AFL,2023-09-01,2025-03-14,18.33,0.3,9.14,8.9,B
AFL,2024-11-01,2025-03-14,17.46,0.36,8.99,8.12,B
AFL,2024-12-01,2025-03-14,18.58,1.29,8.32,8.97,B
AFL,2025-01-01,2025-03-14,18.58,1.29,8.32,8.97,B
AFL,2025-02-01,2025-03-14,18.58,1.29,8.32,8.97,B
AFL,2025-03-01,2025-03-14,18.58,1.29,8.32,8.97,B
A,2020-01-01,2025-03-14,17.52,0.87,9.42,7.23,B
A,2020-02-01,2025-03-14,17.52,0.87,9.42,7.23,B
A,2020-03-01,2025-03-14,17.52,0.87,9.42,7.23,B
A,2020-07-01,2025-03-14,16.79,0.87,9.42,6.5,B
A,2020-08-01,2025-03-14,16.79,0.87,9.42,6.5,B
A,2020-10-01,2025-03-14,16.72,0.87,9.4,6.45,B
A,2021-01-01,2025-03-14,16.64,0.87,9.44,6.33,B
A,2021-02-01,2025-03-14,16.64,0.87,9.44,6.33,B
A,2021-03-01,2025-03-14,16.57,0.87,9.44,6.26,B
A,2021-05-01,2025-03-14,16.57,0.87,9.44,6.26,B
A,2021-09-01,2025-03-14,16.57,0.87,9.44,6.26,B
A,2022-02-01,2025-03-14,15.33,0.34,8.65,6.34,B
A,2022-05-01,2025-03-14,15.33,0.34,8.65,6.34,B
A,2022-08-01,2025-03-14,15.33,0.34,8.65,6.34,B
A,2023-01-01,2025-03-14,15.24,0.34,8.65,6.26,B
A,2023-09-01,2025-03-14,13.64,1.12,6.42,6.1,B
A,2024-11-01,2025-03-14,11.36,1.19,6.23,3.93,B
A,2024-12-01,2025-03-14,11.36,1.19,6.23,3.93,B
A,2025-01-01,2025-03-14,11.36,1.19,6.23,3.93,B
A,2025-02-01,2025-03-14,11.31,1.14,6.23,3.93,B
A,2025-03-01,2025-03-14,10.09,1.14,5.01,3.94,B
APD,2020-01-01,2025-03-14,12.32,6.64,2.01,3.66,B
APD,2020-02-01,2025-03-14,12.16,6.64,1.85,3.66,B
APD,2020-03-01,2025-03-14,11.62,6.38,1.56,3.68,B
APD,2020-07-01,2025-03-14,11.24,6.0,1.56,3.68,B
APD,2020-08-01,2025-03-14,11.24,6.0,1.56,3.68,B
APD,2020-10-01,2025-03-14,11.24,6.0,1.56,3.68,B
APD,2021-01-01,2025-03-14,11.21,6.0,1.56,3.64,B
APD,2021-02-01,2025-03-14,11.15,6.06,1.43,3.65,B
APD,2021-03-01,2025-03-14,11.15,6.06,1.43,3.65,B
APD,2021-05-01,2025-03-14,11.18,6.09,1.43,3.65,B
APD,2022-02-01,2025-03-14,10.81,5.94,1.28,3.59,B
APD,2022-05-01,2025-03-14,10.81,5.94,1.28,3.59,B
APD,2022-08-01,2025-03-14,10.81,5.94,1.28,3.59,B
APD,2023-09-01,2025-03-14,12.26,7.42,1.5,3.35,B
APD,2024-11-01,2025-03-14,14.83,8.45,3.44,2.94,B
APD,2024-12-01,2025-03-14,14.83,8.45,3.44,2.94,B
APD,2025-01-01,2025-03-14,14.83,8.45,3.44,2.94,B
APD,2025-02-01,2025-03-14,14.83,8.45,3.44,2.94,B
APD,2025-03-01,2025-03-14,14.83,8.45,3.44,2.94,B
AKAM,2020-01-01,2025-03-14,20.94,1.8,11.8,7.34,C
AKAM,2020-02-01,2025-03-14,20.94,1.8,11.8,7.34,C
AKAM,2020-03-01,2025-03-14,20.94,1.8,11.8,7.34,C
AKAM,2020-07-01,2025-03-14,21.16,2.02,11.8,7.34,C
AKAM,2020-08-01,2025-03-14,21.16,2.02,11.8,7.34,C
AKAM,2020-10-01,2025-03-14,21.16,2.02,11.8,7.34,C
AKAM,2021-01-01,2025-03-14,21.35,2.02,11.8,7.53,C
AKAM,2021-02-01,2025-03-14,21.35,2.02,11.8,7.53,C
AKAM,2021-03-01,2025-03-14,21.35,2.02,11.8,7.53,C
AKAM,2021-05-01,2025-03-14,21.34,1.91,11.8,7.63,C
AKAM,2021-09-01,2025-03-14,20.16,1.93,10.35,7.88,C
AKAM,2022-02-01,2025-03-14,19.94,1.93,10.35,7.66,B
AKAM,2022-05-01,2025-03-14,19.63,1.93,10.35,7.35,B
AKAM,2022-08-01,2025-03-14,19.63,1.93,10.35,7.35,B
AKAM,2023-01-01,2025-03-14,16.55,2.93,6.9,6.72,B
AKAM,2023-09-01,2025-03-14,17.01,3.0,7.09,6.93,B
AKAM,2024-10-01,2025-03-14,13.31,2.74,6.83,3.74,B
AKAM,2024-11-01,2025-03-14,13.31,2.74,6.83,3.74,B
AKAM,2024-12-01,2025-03-14,13.31,2.74,6.83,3.74,B
AKAM,2025-01-01,2025-03-14,13.31,2.74,6.83,3.74,B
AKAM,2025-02-01,2025-03-14,13.31,2.74,6.83,3.74,B
AKAM,2025-03-01,2025-03-14,13.31,2.74,6.83,3.74,B
ALK,2024-11-01,2025-03-14,25.15,9.63,11.03,4.49,C
ALK,2024-12-01,2025-03-14,25.15,9.63,11.03,4.49,C
ALK,2025-01-01,2025-03-14,25.15,9.63,11.03,4.49,C
ALK,2025-02-01,2025-03-14,25.26,9.63,11.15,4.49,C
ALK,2025-03-01,2025-03-14,25.26,9.63,11.15,4.49,C
ALB,2020-01-01,2025-03-14,37.26,19.68,8.91,8.67,D
ALB,2020-02-01,2025-03-14,37.26,19.68,8.91,8.67,D
ALB,2020-03-01,2025-03-14,37.26,19.68,8.91,8.67,D
ALB,2020-07-01,2025-03-14,36.72,19.09,8.91,8.72,D
ALB,2020-08-01,2025-03-14,36.72,19.09,8.91,8.72,D
ALB,2020-10-01,2025-03-14,36.74,19.09,8.91,8.74,D
ALB,2021-01-01,2025-03-14,36.74,19.09,8.91,8.74,D
ALB,2021-02-01,2025-03-14,36.74,19.09,8.91,8.74,D
ALB,2021-03-01,2025-03-14,36.74,19.09,8.91,8.74,D
ALB,2021-05-01,2025-03-14,36.74,19.09,8.91,8.74,D
ALB,2021-09-01,2025-03-14,37.21,19.09,9.21,8.9,D
ALB,2022-02-01,2025-03-14,29.4,15.86,5.58,7.96,C
ALB,2022-05-01,2025-03-14,28.79,15.53,5.3,7.96,C
ALB,2022-08-01,2025-03-14,28.8,15.53,5.54,7.73,C
ALB,2023-01-01,2025-03-14,28.8,15.53,5.54,7.73,C
ALB,2023-09-01,2025-03-14,26.57,15.39,4.85,6.33,C
ALB,2024-11-01,2025-03-14,20.11,11.83,3.79,4.49,C
ALB,2024-12-01,2025-03-14,20.11,11.83,3.79,4.49,C
ALB,2025-01-01,2025-03-14,20.11,11.83,3.79,4.49,C
ALB,2025-02-01,2025-03-14,20.11,11.83,3.79,4.49,C
ALB,2025-03-01,2025-03-14,20.11,11.83,3.79,4.49,C
ARE,2020-01-01,2025-03-14,14.81,1.97,7.36,5.47,B
ARE,2020-02-01,2025-03-14,14.81,1.97,7.36,5.47,B
ARE,2020-03-01,2025-03-14,14.81,1.97,7.36,5.47,B
ARE,2020-07-01,2025-03-14,15.32,1.97,7.36,5.98,B
ARE,2020-08-01,2025-03-14,15.32,1.97,7.36,5.98,B
ARE,2020-10-01,2025-03-14,15.35,1.97,7.36,6.01,B
ARE,2021-01-01,2025-03-14,15.35,1.97,7.36,6.01,B
ARE,2021-02-01,2025-03-14,15.35,1.97,7.36,6.01,B
ARE,2021-03-01,2025-03-14,15.1,2.98,6.27,5.86,B
ARE,2021-05-01,2025-03-14,15.1,2.98,6.27,5.86,B
ARE,2021-09-01,2025-03-14,15.15,2.98,6.27,5.9,B
ARE,2022-02-01,2025-03-14,15.15,2.98,6.27,5.9,B
ARE,2022-05-01,2025-03-14,15.15,2.98,6.27,5.9,B
ARE,2022-08-01,2025-03-14,14.78,2.98,6.27,5.54,B
ARE,2023-01-01,2025-03-14,13.85,3.91,3.66,6.27,B
ARE,2023-09-01,2025-03-14,13.89,3.91,3.66,6.32,B
ARE,2024-11-01,2025-03-14,13.14,2.85,3.69,6.59,B
ARE,2024-12-01,2025-03-14,13.14,2.85,3.69,6.59,B
ARE,2025-01-01,2025-03-14,13.14,2.85,3.69,6.59,B
ARE,2025-02-01,2025-03-14,13.14,2.85,3.69,6.59,B
ARE,2025-03-01,2025-03-14,13.14,2.85,3.69,6.59,B
ALXN,2020-01-01,2025-03-14,27.1,0.14,18.8,8.16,C
ALXN,2020-02-01,2025-03-14,26.89,0.14,18.46,8.29,C
ALXN,2020-03-01,2025-03-14,26.89,0.14,18.46,8.29,C
ALXN,2020-07-01,2025-03-14,24.69,0.12,16.73,7.83,C
ALXN,2020-08-01,2025-03-14,24.02,0.12,17.12,6.78,C
ALXN,2020-10-01,2025-03-14,19.71,0.12,12.78,6.81,B
ALXN,2021-01-01,2025-03-14,18.9,0.12,11.97,6.81,B
ALXN,2021-02-01,2025-03-14,18.9,0.12,11.97,6.81,B
ALXN,2021-03-01,2025-03-14,18.9,0.12,11.97,6.81,B
ALXN,2021-05-01,2025-03-14,18.58,0.12,11.99,6.47,B
ALGN,2024-10-01,2025-03-14,18.58,2.69,9.37,6.53,B
ALGN,2024-11-01,2025-03-14,18.58,2.69,9.37,6.53,B
ALGN,2024-12-01,2025-03-14,18.58,2.69,9.37,6.53,B
ALGN,2025-01-01,2025-03-14,18.58,2.69,9.37,6.53,B
ALGN,2025-02-01,2025-03-14,18.58,2.69,9.37,6.53,B
ALGN,2025-03-01,2025-03-14,18.58,2.69,9.37,6.53,B
ALLE,2020-01-01,2025-03-14,23.91,13.46,4.21,6.23,C
ALLE,2020-02-01,2025-03-14,23.91,13.46,4.21,6.23,C
ALLE,2020-03-01,2025-03-14,23.91,13.46,4.21,6.23,C
ALLE,2020-07-01,2025-03-14,23.94,13.49,4.21,6.23,C
ALLE,2020-08-01,2025-03-14,23.94,13.49,4.21,6.23,C
ALLE,2020-10-01,2025-03-14,23.56,13.49,4.21,5.86,C
ALLE,2021-01-01,2025-03-14,21.83,11.06,4.23,6.55,C
ALLE,2021-02-01,2025-03-14,21.83,11.06,4.23,6.55,C
ALLE,2021-03-01,2025-03-14,21.83,11.06,4.23,6.55,C
ALLE,2021-05-01,2025-03-14,23.11,12.34,4.23,6.55,C
ALLE,2021-09-01,2025-03-14,23.15,12.34,4.23,6.59,C
ALLE,2022-02-01,2025-03-14,23.59,12.75,4.54,6.3,C
ALLE,2022-05-01,2025-03-14,23.59,12.75,4.54,6.3,C
ALLE,2022-08-01,2025-03-14,23.59,12.75,4.54,6.3,C
ALLE,2023-01-01,2025-03-14,23.72,12.75,4.54,6.43,C
ALLE,2023-09-01,2025-03-14,21.78,10.9,5.84,5.04,C
ALLE,2024-11-01,2025-03-14,19.83,10.84,5.91,3.08,B
ALLE,2024-12-01,2025-03-14,19.83,10.84,5.91,3.08,B
ALLE,2025-01-01,2025-03-14,19.83,10.84,5.91,3.08,B
ALLE,2025-02-01,2025-03-14,21.24,12.29,5.16,3.8,C
ALLE,2025-03-01,2025-03-14,21.24,12.29,5.16,3.8,C
AGN,2020-01-01,2025-03-14,31.22,1.29,18.25,11.68,D
AGN,2020-02-01,2025-03-14,31.22,1.29,18.25,11.68,D
AGN,2020-03-01,2025-03-14,31.22,1.29,18.25,11.68,D
ADS,2020-01-01,2025-03-14,16.96,0.12,10.71,6.13,B
ADS,2020-02-01,2025-03-14,16.96,0.12,10.71,6.13,B
ADS,2020-03-01,2025-03-14,16.96,0.12,10.71,6.13,B
ADS,2020-07-01,2025-03-14,16.67,0.12,10.71,5.84,B
ADS,2020-08-01,2025-03-14,16.67,0.12,10.71,5.84,B
ADS,2020-10-01,2025-03-14,16.69,0.12,10.71,5.87,B
ADS,2021-01-01,2025-03-14,16.69,0.12,10.71,5.87,B
ADS,2021-02-01,2025-03-14,17.6,0.12,11.8,5.68,B
ADS,2021-03-01,2025-03-14,17.6,0.12,11.8,5.68,B
ADS,2021-05-01,2025-03-14,17.6,0.12,11.8,5.68,B
ADS,2021-09-01,2025-03-14,17.93,1.26,11.73,4.94,B
ADS,2022-02-01,2025-03-14,17.93,1.26,11.73,4.94,B
LNT,2020-01-01,2025-03-14,35.42,18.53,10.05,6.84,D
LNT,2020-02-01,2025-03-14,35.42,18.53,10.05,6.84,D
LNT,2020-03-01,2025-03-14,35.42,18.53,10.05,6.84,D
LNT,2020-07-01,2025-03-14,36.02,19.28,10.05,6.69,D
LNT,2020-08-01,2025-03-14,28.44,14.76,7.22,6.46,C
LNT,2020-10-01,2025-03-14,28.44,14.76,7.22,6.46,C
LNT,2021-01-01,2025-03-14,28.37,14.68,7.38,6.3,C
LNT,2021-02-01,2025-03-14,28.37,14.68,7.38,6.3,C
LNT,2021-03-01,2025-03-14,28.37,14.68,7.38,6.3,C
LNT,2021-05-01,2025-03-14,27.99,14.3,7.38,6.3,C
LNT,2021-09-01,2025-03-14,22.36,10.04,5.65,6.67,C
LNT,2022-02-01,2025-03-14,22.36,10.04,5.65,6.67,C
LNT,2022-05-01,2025-03-14,22.36,10.04,5.65,6.67,C
LNT,2022-08-01,2025-03-14,21.87,10.04,5.65,6.18,C
LNT,2023-01-01,2025-03-14,21.87,10.04,5.65,6.18,C
LNT,2023-09-01,2025-03-14,21.36,8.54,6.55,6.28,C
LNT,2024-10-01,2025-03-14,17.11,6.79,5.25,5.07,B
LNT,2024-11-01,2025-03-14,17.11,6.79,5.25,5.07,B
LNT,2024-12-01,2025-03-14,17.11,6.79,5.25,5.07,B
LNT,2025-01-01,2025-03-14,17.11,6.79,5.25,5.07,B
LNT,2025-02-01,2025-03-14,17.11,6.79,5.25,5.07,B
LNT,2025-03-01,2025-03-14,17.11,6.79,5.25,5.07,B
ALL,2020-01-01,2025-03-14,21.36,1.48,8.57,11.31,C
ALL,2020-02-01,2025-03-14,21.36,1.48,8.57,11.31,C
ALL,2020-03-01,2025-03-14,21.36,1.48,8.57,11.31,C
ALL,2020-07-01,2025-03-14,22.63,1.28,8.7,12.64,C
ALL,2020-08-01,2025-03-14,22.63,1.28,8.7,12.64,C
ALL,2020-10-01,2025-03-14,22.95,1.62,8.71,12.62,C
ALL,2021-01-01,2025-03-14,23.01,1.62,8.71,12.68,C
ALL,2021-02-01,2025-03-14,23.01,1.62,8.71,12.68,C
ALL,2021-03-01,2025-03-14,23.01,1.62,8.71,12.68,C
ALL,2021-05-01,2025-03-14,20.61,1.74,7.7,11.17,C
ALL,2022-02-01,2025-03-14,20.84,1.74,7.7,11.39,C
ALL,2022-05-01,2025-03-14,19.22,1.44,7.85,9.94,B
ALL,2022-08-01,2025-03-14,19.22,1.44,7.85,9.94,B
ALL,2023-09-01,2025-03-14,22.04,1.03,10.13,10.88,C
ALL,2024-11-01,2025-03-14,21.29,1.12,10.68,9.48,C
ALL,2024-12-01,2025-03-14,21.29,1.12,10.68,9.48,C
ALL,2025-01-01,2025-03-14,21.29,1.12,10.68,9.48,C
ALL,2025-02-01,2025-03-14,24.68,1.29,12.59,10.8,C
ALL,2025-03-01,2025-03-14,24.68,1.29,12.59,10.8,C
