ticker	timestamp	last_processing_date	total_score	environment_score	social_score	governance_score
MMM	1/02/2021	14/03/2025	35.24	12.79	14	8.45
MMM	1/03/2021	14/03/2025	35.24	12.79	14	8.45
MMM	1/04/2021	14/03/2025				
MMM	1/05/2021	14/03/2025	34.88	13.2	13.6	8.08
MMM	1/06/2021	14/03/2025				
MMM	1/07/2021	14/03/2025				
MMM	1/08/2021	14/03/2025				
MMM	1/09/2021	14/03/2025	34.88	13.2	13.6	8.08
MMM	1/10/2021	14/03/2025				
MMM	1/11/2021	14/03/2025				
MMM	1/12/2021	14/03/2025				
MMM	1/01/2022	14/03/2025				
MMM	1/02/2022	14/03/2025	34.88	13.2	13.6	8.08
MMM	1/03/2022	14/03/2025				
MMM	1/04/2022	14/03/2025				
MMM	1/05/2022	14/03/2025	33.61	12.33	13.56	7.72
MMM	1/06/2022	14/03/2025				
MMM	1/07/2022	14/03/2025				
MMM	1/08/2022	14/03/2025	33.61	12.33	13.56	7.72
MMM	1/09/2022	14/03/2025				
MMM	1/10/2022	14/03/2025				
MMM	1/11/2022	14/03/2025				
MMM	1/12/2022	14/03/2025				
MMM	1/01/2023	14/03/2025				
MMM	1/02/2023	14/03/2025				
MMM	1/03/2023	14/03/2025				
MMM	1/04/2023	14/03/2025				
MMM	1/05/2023	14/03/2025				
MMM	1/06/2023	14/03/2025				
MMM	1/07/2023	14/03/2025				
MMM	1/08/2023	14/03/2025				
MMM	1/09/2023	14/03/2025	37.35	17.22	13.59	6.54
MMM	1/10/2023	14/03/2025				
MMM	1/11/2023	14/03/2025				
MMM	1/12/2023	14/03/2025				
MMM	1/01/2024	14/03/2025				
MMM	1/02/2024	14/03/2025				
MMM	1/03/2024	14/03/2025				
MMM	1/04/2024	14/03/2025				
MMM	1/05/2024	14/03/2025				
MMM	1/06/2024	14/03/2025				
MMM	1/07/2024	14/03/2025				
MMM	1/08/2024	14/03/2025				
MMM	1/09/2024	14/03/2025				
MMM	1/10/2024	14/03/2025				
MMM	1/11/2024	14/03/2025	40.71	17.19	16.69	6.84
MMM	1/12/2024	14/03/2025	42.86	19.53	16.82	6.51
MMM	1/01/2025	14/03/2025	42.86	19.53	16.82	6.51
MMM	1/02/2025	14/03/2025	42.86	19.53	16.82	6.51
MMM	1/03/2025	14/03/2025	42.86	19.53	16.82	6.51
